PID,PCS,CTS,COLID,DESCRIPTION,INTENSITY,OVERTONE,OVERTONE1,COLOR,CLARITY,SHAPE,FLU INT,FLU COLOR,FLU,POLISH,SYMMETRY,L,W,D,TD,LAB,REPORT NO,
DA-69V        ,1,1.01,,FANCY YELLOW,FANCY,,,YELLOW,SI2,OVAL,FAINT,,F,G,G,8.11,4.92,3.33,67.68%,GIA,5176077640,
DA-69U        ,1,1.02,P295,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,FAINT,,F,G,G,7.39,5.26,3.41,64.83%,GIA,2176075700,
DA-69T        ,1,2.02,,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,NONE,,N,G,EX,7.82,6.46,4.44,68.73%,GIA,2176167161,
DA-69S        ,1,1.01,,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,FAINT,,F,G,G,7.57,4.85,3.5,72.16%,GIA,2176108437,
DA-69R        ,1,3.26,,FANCY YELLOW,FANCY,,,YELLOW,SI1,MARQUISE,NONE,,N,G,VG,13.24,7.33,4.9,66.85%,GIA,2176043413,
DA-69Q        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,MEDIUM,BLUE,MB,G,G,4.95,4.6,3.21,69.78%,GIA,2176149838,
DA-69P        ,1,0.71,C256,FANCY YELLOW,FANCY,,,YELLOW,VS1,CUSHION,NONE,,N,G,VG,4.99,4.51,3.27,72.51%,GIA,5176151328,
DA-69O        ,1,0.78,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,FAINT,,F,VG,G,6.31,4.9,3.35,68.37%,GIA,1179149702,
DA-69N        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,CUSHION,FAINT,,F,G,G,5.43,4.42,2.84,64.25%,GIA,2176151347,
DA-69K        ,1,0.76,C256,FANCY YELLOW,FANCY,,,YELLOW,VS1,RADIANT,FAINT,,F,G,G,6.37,3.98,3.04,76.38%,GIA,2176094733,
DA-69J        ,1,0.80,C256,FANCY YELLOW,FANCY,,,YELLOW,VVS1,OVAL,MEDIUM,BLUE,MB,VG,VG,6.54,4.85,3.11,64.12%,GIA,2176094665,
DA-69H        ,1,0.76,C256,FANCY YELLOW,FANCY,,,YELLOW,VVS1,CUSHION,MEDIUM,BLUE,MB,VG,VG,5,4.86,3.42,70.37%,GIA,5176124078,
DA-69G        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,FAINT,,F,VG,G,5.85,4.82,3.33,69.09%,GIA,1179094034,
DA-69F        ,1,0.77,C256,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,MEDIUM,BLUE,MB,VG,G,6.5,4.72,3.42,72.46%,GIA,5176151501,
DA-69D        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,VVS1,CUSHION,FAINT,,F,VG,G,4.77,4.61,3.3,71.58%,GIA,5176078714,
DA-69B        ,1,0.81,C256,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,FAINT,,F,G,G,4.96,4.91,3.41,69.45%,GIA,1179108602,
DA-69AR       ,1,3.02,,LIGHT GREEN-YELLOW,LIGHT,,,GREEN-YELLOW,SI1,MARQUISE,NONE,,N,EX,VG,14.12,7.43,4.86,65.41%,GIA,1179009101,
DA-69AP       ,1,5.01,,FANCY LIGHT GREENISH YELLOW,FANCY LIGHT,GREENISH,,YELLOW,SI1,CUSHION,NONE,,N,G,G,9.77,9.13,5.87,64.29%,GIA,5166996073,
DA-69AM       ,1,0.52,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,IF,PEAR,NONE,,N,G,G,5.89,4.19,2.68,63.96%,GIA,5176043472,
DA-69AJ       ,1,0.50,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,VS2,CUSHION,NONE,,N,G,G,4.34,3.99,3.02,75.69%,GIA,2176077685,
DA-69AI       ,1,0.53,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,VS2,CUSHION,NONE,,N,EX,VG,4.34,4.33,3.04,70.21%,GIA,1179077753,
DA-69AH       ,1,0.70,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,IF,PEAR,FAINT,,F,G,G,6.12,4.68,3.02,64.53%,GIA,2176068925,
DA-69A        ,1,2.32,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VVS2,CUSHION,NONE,,N,EX,EX,7.58,7.45,4.69,62.95%,GIA,2176008958,
DA-66H        ,1,1.17,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS1,CUSHION,NONE,,N,G,G,5.8,5.57,3.9,70.02%,GIA,5176165091,
DA-66G        ,1,1.16,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS1,CUSHION,NONE,,N,VG,G,5.94,5.76,3.77,65.45%,GIA,5166996457,
DA-66E        ,1,1.09,P295,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,FAINT,,F,G,G,7.75,5.03,3.4,67.59%,GIA,1179029712,
DA-66D        ,1,1.07,,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,NONE,,N,G,VG,7.46,5.35,3.54,66.17%,GIA,2176029724,
DA-64P        ,1,2.03,,FANCY LIGHT BLUISH GREEN,FANCY LIGHT,BLUISH,,GREEN,SI2,CUSHION,NONE,,N,VG,VG,7.1,6.37,4.78,75.04%,GIA,2146974963,
DA-64I        ,1,5.10,,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI2,CUSHION,NONE,,N,EX,VG,9.47,9.42,6.23,66.14%,GIA,2146976420,
DA-64H        ,1,1.23,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,VVS2,CUSHION,NONE,,N,EX,EX,5.95,5.77,3.95,68.46%,GIA,1159712954,
DA-60Z        ,1,2.50,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,CUSHION,NONE,,N,EX,G,7.41,7.39,4.94,66.85%,GIA,5146973898,
DA-60C        ,1,1.02,,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,SI2,CUSHION,STRONG,WHITE,SW,VG,EX,5.7,5.69,3.59,63.09%,GIA,1159420051,
DA-60AD       ,1,3.12,,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI1,CUSHION,FAINT,,F,VG,VG,8.2,8,5.36,67.00%,GIA,1132130188,
DA-57B        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,VS1,OVAL,FAINT,,F,VG,G,6.64,4.22,3.05,72.27%,GIA,2176054840,
DA-52         ,1,3.00,,LIGHT PINKISH BROWN,LIGHT,PINKISH,,BROWN,VS2,CUSHION,NONE,,N,VG,G,9.26,7.29,5.23,71.74%,GIA,1169570831,
DA-49         ,1,1.27,,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,VS2,CUSHION,NONE,,N,VG,G,6.04,5.96,3.9,65.44%,GIA,2156610809,
DA-48Q        ,1,0.91,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VVS1,CUSHION,NONE,,N,VG,G,5.53,5.19,3.63,69.94%,GIA,2166735962,
DA-48P        ,1,0.81,C274,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VVS2,CUSHION,STRONG,BLUE,SB,EX,EX,5.4,5.29,3.32,62.76%,GIA,5166779449,
DA-48O        ,1,0.80,C274,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VVS2,CUSHION,NONE,,N,EX,VG,5.09,5.07,3.58,70.61%,GIA,1169837367,
DA-48N        ,1,0.76,C274,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,CUSHION,NONE,,N,VG,G,5.14,4.75,3.39,71.37%,GIA,1169836069,
DA-48M        ,1,0.75,C274,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,CUSHION,NONE,,N,EX,VG,5.46,4.76,3.31,69.54%,GIA,2166735733,
DA-48L        ,1,0.61,C282,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS1,CUSHION,STRONG,BLUE,SB,VG,G,4.99,4.76,3.01,63.24%,GIA,2166826579,
DA-48K        ,1,0.62,C282,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,CUSHION,NONE,,N,VG,G,5.1,4.66,3.08,66.09%,GIA,2166933463,
